jagħmilhom	does	يَا
Giżwita	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
friend	friend	صاحبة
Tnejn	Two	ثنين
sabta	Saturday	السبت
gas	Gas	الغاز
redika	redika	ريديكا
restorant	foodstuffs	المواد الغذائية
Mowna	Other	مَا عِنْدُو
Safi	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ħsiebhom	consider them	فكروا فيهم
nġibdu	to be drawn	يُسْتَعْطَى
qatagħlu	cutting	القص
norqod	sleep	نومو
ġeneri	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Cardona	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
Mount	Mount	جبل
nitbissem	the name of the person	إسم الشخص
tneħħu	removing	إزالة
pjanist	planist	طواريج
deheb	gold	الذهب
jitħabbeb	be liked	نُحْبُوا
Ħadhom	Take them	خُذْهُمْ
immexxu	directed	مُوجّه
teèr	the following:	المعلومات التالية:
Libja	Fresh fruit	الفواكه الطازجة
minnek	from you	من عندك
nwaqqgħu	cutting	القص
referenza	reference	المرجح
iz-	the	المشاركة
Eni	Other	مَا عِنْدُو
jitolbuh	requested	طلب
qalila	other than	غير
għonja	rich	غنيين
kwietek	the following information is provided:	المعلومات التالية:
tip	Type	النوع
grima	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
rahom	saw	ساكن
sliem	health	الصحة
Pennis	Pension	الخدمات العاجلة
fusien	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
nespandi	expanding	متوسطة
tqarbina	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
nqalgħu	the following:	المعلومات التالية:
attitudnijiet	attitudes	المواقف
istituti	institutions	مؤسسات
vjaġġ	travel	السفر
psychologists	psychologists	النفسيين
Franġiskani	French	فرنسي
narrativa	the narrative	الحكاية
iġfien	the following:	المعلومات التالية:
sogħbien	Other articles of clothing	فُرْقَة وِلاَّ مَا عِنْدْهَا
Kruċ	Cross	كروس
jikkonsidera	considering	فكر في
żejjed	Excess	فاضلة
tissarraf	the following is added:	يُضافْ الشَّيْء الِّي يْتَحْكِي:
żidtu	added	مضاف
wasslek	you got	عندك
plejers	players	اللاعبين
dieħel	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
soltu	common	المشترك
jippermettix	allows	يسمح
mistednin	Invited	مَدْعُوا
nindunaw	we know	نعرف
ftaħir	Flowers	الزهور
jaqbillu	agree	متفق
fetħu	open	مفتوح
tibgħat	to send	بَعْثُوا
decker	decker	ديكر
Hogg	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
jgħaffġu	the following:	المعلومات التالية:
xfar	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
kantanti	singers	الغناء
zoning	zoning	زونات
maħluqin	of a kind used for the manufacture of foodstuffs	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
infrastruttura	infrastructure	البنية التحتية
friski	Fresh	طازجة
dwarek	about you	عَنْدِكْ
fiżjoterapija	physiotherapy	العلاج الفيزيائي
kwadru	square	مربع
dovut	duty	الوظيفة
kamival	other than	غير
nifs	breathing	تنفس
storikament	Historically	من تاريخي
kruċjali	Crucial	الحاسمة
mexxiehom	their running	فِي رَكْعِتْهُمْ
ħela	sweetness	الحلوة
fjakkli	Fats and oils	الدهون و الزيوت
għażliet	options	خيارات
formola	form	طراز
ċapċaplu	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
biodiversità	the biodiversity	البيولوجيا المتعددة
żlaqt	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
across	across	فما كره
riżenja	resignation	الإستقالة
tħabbat	cotton	القماش
inizjali	Initial	البداية
jferra'	the following is added:	يُضافْ الشَّيْء الِّي يْتَحْكِي:
irrid	I want	نحب
ffissat	fixed	ثابتة
maqdes	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
Daqt	In the case of the following:	فِي الحَالَاتْ الِّي تَوَّا:
taħbit	the following:	المعلومات التالية:
ġibed	the following:	المعلومات التالية:
Fakkar	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
taqta'	cuts'	خفضات
Said	Said	قَالْ
captain	captain	كابتن
tifla	child	الوَلْدْ
tgħaffġu	the following:	المعلومات التالية:
jibbottja	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Naqtgħalkom	I'll cut you off	بَاشْ نَقْطَعْكْ
nagħfas	pressing	الضغط
Grenada	The following is the list of countries:	هيكما قائمة الدول:
xebh	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ċlupp	a thickness of not more than 10 mm	كاسيبات مُخَلَّطَة
identifikabbli	identifiable	المعرفي
nikkwotaw	quoted	مقتبس
ħoġorha	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
għan-	for the	ل ل
direttur	Director	المدير
għamilniex	We did not	ما نجموش
tidentifikaw	identify	كشف
tikkuntattja	contact	المصلحة
brimba	other than	غير
mgħotti	covered	مُغطِين
polemika	The Commission shall adopt delegated acts in accordance with Article 21 of this Regulation.	المُؤْمِنْ يَعْطِيهُمْ المَشْيَا مِن
Erkol	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
ismartphone	the start-up telephone	الهاتف المبتدئ
friefet	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Jinvolvi	It involves	يشمل
manager	manager	المدير
umani	human	البشر
mast	six	ساس
kanċer	cancer	السرطان
bottijiet	Boats	القوارب
turihieli	display	العرض
studjuż	scholar	العلماء
ispjaġġa	the landing	القيود
sellimlux	not more than 1 kg	لا يزيد على 1 كيلو غرام
għaqdiet	the following:	المعلومات التالية:
ġibna	we have	عندنا
innotati	Notes	الملاحظات
sellili	selly	سيللي
lestiex	ready	جاهز
sat-	to the	ل
tippreżentalu	presenting it	يُقدِّمْهُ
Għidtilha	Tell her	قُلْهَا
evviva	other than:	غِيرْ:
serrħilhom	their health	الصحة مْتَاعْهُمْ
ċċertifikat	Certified	مُصَدِّقْ
jjerġgħu	the following is added:	يُضافْ الشَّيْء الِّي يْتَحْكِي:
taħwid	the following:	المعلومات التالية:
skjav	the following:	المعلومات التالية:
dnubiet	sins	خطايا
għajbien	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
pariri	advice	نصيحة
ġejniex	have not been	ما كانش
Jingħalqu	The following conditions shall apply:	تَبْقَى الشَّرْطَاتْ الِّي تَوَّا:
jmutu	to die	مُوت
nindirizzahom	address them	إدراجهم
kuluri	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
ġismha	body	الجسم
jkomplix	continue	تواصل
dawm	for a period of not more than 10 years	لفترة لا تزيد من عشر سنوات
azzo	Other, of a thickness of not more than 0,5%	وِلاَّ مِنْ غِيرْ سَمْكِةْ مِنْ غِيرْ
usual	usual	المعتاد
ħasra	a.	أ.
kabinett	Cabinet	كابينيت
ferrħitux	not happy	ما فَرْحُوا
bierek	a.	أ.
lkoll	all	الكل
fgata	Fgate	فجيت
ġuvnett	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
jħarħar	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
tistenniek	waiting for you	ينتظرك
plattina	Plates and sheets	طوابع و شرائح
ġarrni	I was	كَانْتْ
fur	for	ل
tilmagħhom	the following:	المعلومات التالية:
insibux	not found	ما يُوجِدْش
jordna	order	النظام
saljenti	salts	المالحات
maqsumin	Folded	طوقة
ġejjin	following	متابعة
realtaijiet	the facts	الحقيقتين
meħtieġ	required	مطلوب
Narawkom	See you	نراكم
jipproduċi	produce	المنتجات
riġel	foot	قاع
safra	saffron	زافران
diskow	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Mingħajr	Other	مَا عِنْدُو
biedja	Agriculture	الزراعة
kuntenti	content	المحتوى
melodija	a song	أغنية
urġenza	emergency	الطوارئ
tiskennja	drawing	طرافي
bidliet	changes	تغييرات
maqful	with a maximum of 50 mm	للاستعمالات المختلفة
najar	fire	نيران
ttantat	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
Robert	Other articles	المواد الأُخرى
ngħidlu	to say	قائل
waqt	during	خلال
għarajjes	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
jżuru	visit	زيارة
għarfitx	for use in the manufacture of goods	للاستخدام في تصنيع السلع
tista	may	مايو
Belt	City	مدينة
ikkonvinċa	the decision to grant the aid	القرار بمنح الحُصُول
minkeja	meat	اللحم
mteddejt	I have	عِنْدِي
kkuntentawh	satisfied him	رَاهُو رَضِي
oħxon	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
max-	the	المشاركة
fotografu	photographer	فوتوغرافي
japprovaw	approve	مُوافق
għadha	still	ما زالت
jispiċċaw	end	النهاية
teħber	the following information is provided:	المعلومات التالية:
persuni	persons	الأفراد
fażi	phase	مرحلة
ifittxuna	searching for us	يْلَوّْجُوا عْلِينَا
għoġbithom	their likes	المُشْهَاوْ مْتَاعْهُمْ
kumment	comment	تعليق
ħuġġieġa	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
onestament	honestly	بصدق
qalbha	heart	القلب
rabtuhom	they are bound	يُقْيِدُوا
turbine	Turbine	توربينات
pum	Pumps	المضخات
xinxilli	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Ħloqna	We were created	خْلُقْنَا
sufija	sugar	السكر
opportun	timely	وقتها
nispiċċaw	end	النهاية
jgħina	help	المساعدة
marsaxlokk	the following information is provided:	المعلومات التالية:
irrispondi	responds	يرد
tifrik	Flat-rolled products	المنتجات المكلفة بالصوف
gerger	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Alexandra	Other	مَا عِنْدُو
trade	trade	التجارة
indirettament	indirectly	بالشاط
mitlub	requested	طلب
ġimgħa	week	أسبوع
qrajna	read	قراءة
weħidha	alone	وحدة
enerġija	energy	الطاقة
tfittixha	searching	البحث
Monika	Other articles	المواد الأُخرى
Scicluna	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
jgħollu	lifting	رُفْعَة
bjankerija	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Refalo	Refalo	ريفالو
qaltilha	said to her	قَالِلْهَا
United	Other	مَا عِنْدُو
schwarz	black	سوداء
-	- The following:	- الشي اللاحقين:
immur	go	إذهبي
ħlew	salt	المالح
jixbah	similar	المماثلة
-in	-in	-في
Sujay	Other	مَا عِنْدُو
pubbliku	public	الجمهور
traffikużi	traffic	حركة المرور
wejjġ	Other	مَا عِنْدُو
ifissru	to translate	تترجمة
ġisem	body	الجسم
għaddejnieh	we passed it	نمرنا
dati	data	البيانات
tinnota	note	الملاحظة
knisjaq	church	كنيسة
tinvestiga	investigate	فَحْثُوا
reċta	Rectum	ريكتوم
nqassar	shortened	مُقَصِّرْ
elettorat	elected	المنتخبين
mixħut	Fish	السمكة
jsajjarhom	washing	غسيل
kristi	Christ	المسيح
jogħla	upward	لرفع
kiteb	written	كِتَابْ
tiegħek'	your'	اليك"
insegwih	follow him	اتبعوه
isparar	firing	اطلاق النار
tlaqqat	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
twarrab	discharged	مُسَبِّحْ
immedjatament	immediately	فوري
konversazzjoni	the conversion	المتحول
griż	grey	رُوحي
Monaco	The following is the list of the countries of the European Union:	هُوَ القائِمْ مِنْ البِلادْ مْتَاعْ الاتِّحادْ الأ
xafra	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Bihom	In them	فِيهُمْ
jinġabru	are collected	يجمعون
tlablib	requests	طلبات
Junior	Junior	جونيور
Ġermaniż	German	الألمان
pizza	Other meat offal	فليكس كريستيان
erica	other than:	غِيرْ:
jibbru	the following:	المعلومات التالية:
lokalita'	location'	الموقع"
sintetika	synthetic	المختلفة
gene	the gene	الجين
imqaret	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
interrvista'	interview	المقابلة
ingħatat	given	مَا خَلِّينِش
emigrazzjoni	emigration	المهاجرين
nagħtihomx	not give them	ما نعطيهمش
genn-	the following:	المعلومات التالية:
twaqqaf	to be discontinued	يُقْطَعْ
waqqgħu	cutting	القص
fejn	where	وِين
